"10/08 15:20",-11.6,0,3.91,-20,0,134.667377,33.897907
"10/08 16:03",-11.3,0,3.92,-19.84,0,134.667677,33.898141
"10/08 19:15",-12.9,0,3.89,-19.83,0,134.667677,33.898141
"10/08 22:28",-12.8,0,3.89,-19.84,0,134.667677,33.898141
"10/09 02:44",-12.8,0,3.87,-19.84,0,134.667677,33.898141
"10/09 03:48",-12.8,0,3.88,-19.86,0,134.667677,33.898141
"10/09 07:01",-12.9,0,3.9,-19.84,0,134.667677,33.898141
"10/09 08:05",-12.8,0,3.89,-19.84,0,134.667677,33.898141
"10/09 10:13",-12.9,0,3.87,-19.84,0,134.667677,33.898141
"10/09 11:17",-12.8,0,3.88,-19.84,0,134.667677,33.898141
