"10/12 15:32",125.6,81,4.25,24.29,0.8,134.57997,34.077566
"10/12 16:02",117.6,36,4.26,24.29,0,134.57997,34.077566
"10/12 16:12",112.2,30,4.22,24.46,0,134.57997,34.077566
"10/12 16:22",101.9,16,4.24,24.23,0,134.57997,34.077566
"10/12 16:42",76.6,20,4.21,23.96,0,134.57997,34.077566
"10/12 17:02",83.7,10,4.22,24.13,0,134.57997,34.077566
"10/12 18:03",96.9,0,4.22,23.96,0,134.57997,34.077566
"10/12 19:00",106.5,0,4.22,24.05,0,134.580019,34.077564
"10/12 19:29",114.8,0,4.17,23.63,0,134.580019,34.077564
"10/12 19:59",120.1,0,4.21,23.3,0,134.580019,34.077564
"10/12 20:09",131.4,0,4.18,23.3,0,134.580019,34.077564
"10/12 20:29",145.2,0,4.2,22.97,0,134.580019,34.077564
"10/12 20:58",155.5,0,4.17,22.97,0,134.580019,34.077564
"10/12 21:38",164.7,0,4.18,22.81,0,134.580019,34.077564
"10/12 21:57",165,0,4.18,22.81,0,134.580019,34.077564
"10/12 22:57",165.7,0,4.18,22.48,0,134.580019,34.077564
"10/12 23:56",166.7,0,4.15,22.15,0,134.580019,34.077564
